inning,half,score_diff,outs,base_state,wp
1,top,-10,0,0,0.0067
1,top,-10,0,1,0.0068
1,top,-10,0,2,0.0068
1,top,-10,0,3,0.007
1,top,-10,0,4,0.0068
1,top,-10,0,5,0.007
1,top,-10,0,6,0.007
1,top,-10,0,7,0.0071
1,top,-10,1,0,0.0064
1,top,-10,1,1,0.0065
1,top,-10,1,2,0.0065
1,top,-10,1,3,0.0066
1,top,-10,1,4,0.0065
1,top,-10,1,5,0.0066
1,top,-10,1,6,0.0066
1,top,-10,1,7,0.0068
1,top,-10,2,0,0.0061
1,top,-10,2,1,0.0062
1,top,-10,2,2,0.0062
1,top,-10,2,3,0.0063
1,top,-10,2,4,0.0062
1,top,-10,2,5,0.0063
1,top,-10,2,6,0.0063
1,top,-10,2,7,0.0064
1,top,-9,0,0,0.0122
1,top,-9,0,1,0.0125
1,top,-9,0,2,0.0125
1,top,-9,0,3,0.0127
1,top,-9,0,4,0.0125
1,top,-9,0,5,0.0127
1,top,-9,0,6,0.0127
1,top,-9,0,7,0.013
1,top,-9,1,0,0.0116
1,top,-9,1,1,0.0119
1,top,-9,1,2,0.0119
1,top,-9,1,3,0.0121
1,top,-9,1,4,0.0119
1,top,-9,1,5,0.0121
1,top,-9,1,6,0.0121
1,top,-9,1,7,0.0123
1,top,-9,2,0,0.0111
1,top,-9,2,1,0.0113
1,top,-9,2,2,0.0113
1,top,-9,2,3,0.0115
1,top,-9,2,4,0.0113
1,top,-9,2,5,0.0115
1,top,-9,2,6,0.0115
1,top,-9,2,7,0.0118
1,top,-8,0,0,0.0217
1,top,-8,0,1,0.0221
1,top,-8,0,2,0.0221
1,top,-8,0,3,0.0226
1,top,-8,0,4,0.0221
1,top,-8,0,5,0.0226
1,top,-8,0,6,0.0226
1,top,-8,0,7,0.023
1,top,-8,1,0,0.0207
1,top,-8,1,1,0.0211
1,top,-8,1,2,0.0211
1,top,-8,1,3,0.0215
1,top,-8,1,4,0.0211
1,top,-8,1,5,0.0215
1,top,-8,1,6,0.0215
1,top,-8,1,7,0.0219
1,top,-8,2,0,0.0197
1,top,-8,2,1,0.0201
1,top,-8,2,2,0.0201
1,top,-8,2,3,0.0205
1,top,-8,2,4,0.0201
1,top,-8,2,5,0.0205
1,top,-8,2,6,0.0205
1,top,-8,2,7,0.0209
1,top,-7,0,0,0.0374
1,top,-7,0,1,0.0381
1,top,-7,0,2,0.0381
1,top,-7,0,3,0.0389
1,top,-7,0,4,0.0381
1,top,-7,0,5,0.0389
1,top,-7,0,6,0.0389
1,top,-7,0,7,0.0396
1,top,-7,1,0,0.0356
1,top,-7,1,1,0.0363
1,top,-7,1,2,0.0363
1,top,-7,1,3,0.037
1,top,-7,1,4,0.0363
1,top,-7,1,5,0.037
1,top,-7,1,6,0.037
1,top,-7,1,7,0.0378
1,top,-7,2,0,0.034
1,top,-7,2,1,0.0346
1,top,-7,2,2,0.0346
1,top,-7,2,3,0.0353
1,top,-7,2,4,0.0346
1,top,-7,2,5,0.0353
1,top,-7,2,6,0.0353
1,top,-7,2,7,0.036
1,top,-6,0,0,0.0623
1,top,-6,0,1,0.0634
1,top,-6,0,2,0.0634
1,top,-6,0,3,0.0646
1,top,-6,0,4,0.0634
1,top,-6,0,5,0.0646
1,top,-6,0,6,0.0646
1,top,-6,0,7,0.0659
1,top,-6,1,0,0.0594
1,top,-6,1,1,0.0605
1,top,-6,1,2,0.0605
1,top,-6,1,3,0.0617
1,top,-6,1,4,0.0605
1,top,-6,1,5,0.0617
1,top,-6,1,6,0.0617
1,top,-6,1,7,0.0629
1,top,-6,2,0,0.0567
1,top,-6,2,1,0.0578
1,top,-6,2,2,0.0578
1,top,-6,2,3,0.0589
1,top,-6,2,4,0.0578
1,top,-6,2,5,0.0589
1,top,-6,2,6,0.0589
1,top,-6,2,7,0.06
1,top,-5,0,0,0.0998
1,top,-5,0,1,0.1016
1,top,-5,0,2,0.1016
1,top,-5,0,3,0.1034
1,top,-5,0,4,0.1016
1,top,-5,0,5,0.1034
1,top,-5,0,6,0.1034
1,top,-5,0,7,0.1053
1,top,-5,1,0,0.0953
1,top,-5,1,1,0.0971
1,top,-5,1,2,0.0971
1,top,-5,1,3,0.0989
1,top,-5,1,4,0.0971
1,top,-5,1,5,0.0989
1,top,-5,1,6,0.0989
1,top,-5,1,7,0.1007
1,top,-5,2,0,0.0911
1,top,-5,2,1,0.0928
1,top,-5,2,2,0.0928
1,top,-5,2,3,0.0945
1,top,-5,2,4,0.0928
1,top,-5,2,5,0.0945
1,top,-5,2,6,0.0945
1,top,-5,2,7,0.0962
1,top,-4,0,0,0.1529
1,top,-4,0,1,0.1555
1,top,-4,0,2,0.1555
1,top,-4,0,3,0.1582
1,top,-4,0,4,0.1555
1,top,-4,0,5,0.1582
1,top,-4,0,6,0.1582
1,top,-4,0,7,0.1608
1,top,-4,1,0,0.1465
1,top,-4,1,1,0.1491
1,top,-4,1,2,0.1491
1,top,-4,1,3,0.1516
1,top,-4,1,4,0.1491
1,top,-4,1,5,0.1516
1,top,-4,1,6,0.1516
1,top,-4,1,7,0.1542
1,top,-4,2,0,0.1404
1,top,-4,2,1,0.1428
1,top,-4,2,2,0.1428
1,top,-4,2,3,0.1453
1,top,-4,2,4,0.1428
1,top,-4,2,5,0.1453
1,top,-4,2,6,0.1453
1,top,-4,2,7,0.1478
1,top,-3,0,0,0.223
1,top,-3,0,1,0.2265
1,top,-3,0,2,0.2265
1,top,-3,0,3,0.2301
1,top,-3,0,4,0.2265
1,top,-3,0,5,0.2301
1,top,-3,0,6,0.2301
1,top,-3,0,7,0.2336
1,top,-3,1,0,0.2145
1,top,-3,1,1,0.2179
1,top,-3,1,2,0.2179
1,top,-3,1,3,0.2213
1,top,-3,1,4,0.2179
1,top,-3,1,5,0.2213
1,top,-3,1,6,0.2213
1,top,-3,1,7,0.2248
1,top,-3,2,0,0.2062
1,top,-3,2,1,0.2095
1,top,-3,2,2,0.2095
1,top,-3,2,3,0.2128
1,top,-3,2,4,0.2095
1,top,-3,2,5,0.2128
1,top,-3,2,6,0.2128
1,top,-3,2,7,0.2162
1,top,-2,0,0,0.3083
1,top,-2,0,1,0.3126
1,top,-2,0,2,0.3126
1,top,-2,0,3,0.3169
1,top,-2,0,4,0.3126
1,top,-2,0,5,0.3169
1,top,-2,0,6,0.3169
1,top,-2,0,7,0.3213
1,top,-2,1,0,0.2978
1,top,-2,1,1,0.302
1,top,-2,1,2,0.302
1,top,-2,1,3,0.3062
1,top,-2,1,4,0.302
1,top,-2,1,5,0.3062
1,top,-2,1,6,0.3062
1,top,-2,1,7,0.3105
1,top,-2,2,0,0.2874
1,top,-2,2,1,0.2915
1,top,-2,2,2,0.2915
1,top,-2,2,3,0.2957
1,top,-2,2,4,0.2915
1,top,-2,2,5,0.2957
1,top,-2,2,6,0.2957
1,top,-2,2,7,0.2999
1,top,-1,0,0,0.4032
1,top,-1,0,1,0.4081
1,top,-1,0,2,0.4081
1,top,-1,0,3,0.4129
1,top,-1,0,4,0.4081
1,top,-1,0,5,0.4129
1,top,-1,0,6,0.4129
1,top,-1,0,7,0.4178
1,top,-1,1,0,0.3913
1,top,-1,1,1,0.396
1,top,-1,1,2,0.396
1,top,-1,1,3,0.4008
1,top,-1,1,4,0.396
1,top,-1,1,5,0.4008
1,top,-1,1,6,0.4008
1,top,-1,1,7,0.4056
1,top,-1,2,0,0.3794
1,top,-1,2,1,0.3841
1,top,-1,2,2,0.3841
1,top,-1,2,3,0.3889
1,top,-1,2,4,0.3841
1,top,-1,2,5,0.3889
1,top,-1,2,6,0.3889
1,top,-1,2,7,0.3936
1,top,0,0,0,0.5
1,top,0,0,1,0.505
1,top,0,0,2,0.505
1,top,0,0,3,0.51
1,top,0,0,4,0.505
1,top,0,0,5,0.51
1,top,0,0,6,0.51
1,top,0,0,7,0.515
1,top,0,1,0,0.4875
1,top,0,1,1,0.4925
1,top,0,1,2,0.4925
1,top,0,1,3,0.4975
1,top,0,1,4,0.4925
1,top,0,1,5,0.4975
1,top,0,1,6,0.4975
1,top,0,1,7,0.5025
1,top,0,2,0,0.475
1,top,0,2,1,0.48
1,top,0,2,2,0.48
1,top,0,2,3,0.485
1,top,0,2,4,0.48
1,top,0,2,5,0.485
1,top,0,2,6,0.485
1,top,0,2,7,0.49
1,top,1,0,0,0.591
1,top,1,0,1,0.5958
1,top,1,0,2,0.5958
1,top,1,0,3,0.6006
1,top,1,0,4,0.5958
1,top,1,0,5,0.6006
1,top,1,0,6,0.6006
1,top,1,0,7,0.6054
1,top,1,1,0,0.5788
1,top,1,1,1,0.5837
1,top,1,1,2,0.5837
1,top,1,1,3,0.5886
1,top,1,1,4,0.5837
1,top,1,1,5,0.5886
1,top,1,1,6,0.5886
1,top,1,1,7,0.5934
1,top,1,2,0,0.5666
1,top,1,2,1,0.5715
1,top,1,2,2,0.5715
1,top,1,2,3,0.5764
1,top,1,2,4,0.5715
1,top,1,2,5,0.5764
1,top,1,2,6,0.5764
1,top,1,2,7,0.5813
1,top,2,0,0,0.6708
1,top,2,0,1,0.6752
1,top,2,0,2,0.6752
1,top,2,0,3,0.6796
1,top,2,0,4,0.6752
1,top,2,0,5,0.6796
1,top,2,0,6,0.6796
1,top,2,0,7,0.684
1,top,2,1,0,0.6597
1,top,2,1,1,0.6642
1,top,2,1,2,0.6642
1,top,2,1,3,0.6686
1,top,2,1,4,0.6642
1,top,2,1,5,0.6686
1,top,2,1,6,0.6686
1,top,2,1,7,0.673
1,top,2,2,0,0.6484
1,top,2,2,1,0.6529
1,top,2,2,2,0.6529
1,top,2,2,3,0.6575
1,top,2,2,4,0.6529
1,top,2,2,5,0.6575
1,top,2,2,6,0.6575
1,top,2,2,7,0.662
1,top,3,0,0,0.7373
1,top,3,0,1,0.7412
1,top,3,0,2,0.7412
1,top,3,0,3,0.745
1,top,3,0,4,0.7412
1,top,3,0,5,0.745
1,top,3,0,6,0.745
1,top,3,0,7,0.7488
1,top,3,1,0,0.7275
1,top,3,1,1,0.7315
1,top,3,1,2,0.7315
1,top,3,1,3,0.7354
1,top,3,1,4,0.7315
1,top,3,1,5,0.7354
1,top,3,1,6,0.7354
1,top,3,1,7,0.7392
1,top,3,2,0,0.7175
1,top,3,2,1,0.7215
1,top,3,2,2,0.7215
1,top,3,2,3,0.7255
1,top,3,2,4,0.7215
1,top,3,2,5,0.7255
1,top,3,2,6,0.7255
1,top,3,2,7,0.7295
1,top,4,0,0,0.7905
1,top,4,0,1,0.7938
1,top,4,0,2,0.7938
1,top,4,0,3,0.7971
1,top,4,0,4,0.7938
1,top,4,0,5,0.7971
1,top,4,0,6,0.7971
1,top,4,0,7,0.8003
1,top,4,1,0,0.7821
1,top,4,1,1,0.7855
1,top,4,1,2,0.7855
1,top,4,1,3,0.7888
1,top,4,1,4,0.7855
1,top,4,1,5,0.7888
1,top,4,1,6,0.7888
1,top,4,1,7,0.7922
1,top,4,2,0,0.7735
1,top,4,2,1,0.777
1,top,4,2,2,0.777
1,top,4,2,3,0.7804
1,top,4,2,4,0.777
1,top,4,2,5,0.7804
1,top,4,2,6,0.7804
1,top,4,2,7,0.7838
1,top,5,0,0,0.832
1,top,5,0,1,0.8348
1,top,5,0,2,0.8348
1,top,5,0,3,0.8375
1,top,5,0,4,0.8348
1,top,5,0,5,0.8375
1,top,5,0,6,0.8375
1,top,5,0,7,0.8402
1,top,5,1,0,0.8249
1,top,5,1,1,0.8278
1,top,5,1,2,0.8278
1,top,5,1,3,0.8306
1,top,5,1,4,0.8278
1,top,5,1,5,0.8306
1,top,5,1,6,0.8306
1,top,5,1,7,0.8334
1,top,5,2,0,0.8176
1,top,5,2,1,0.8205
1,top,5,2,2,0.8205
1,top,5,2,3,0.8235
1,top,5,2,4,0.8205
1,top,5,2,5,0.8235
1,top,5,2,6,0.8235
1,top,5,2,7,0.8264
1,top,6,0,0,0.8639
1,top,6,0,1,0.8662
1,top,6,0,2,0.8662
1,top,6,0,3,0.8685
1,top,6,0,4,0.8662
1,top,6,0,5,0.8685
1,top,6,0,6,0.8685
1,top,6,0,7,0.8708
1,top,6,1,0,0.8579
1,top,6,1,1,0.8603
1,top,6,1,2,0.8603
1,top,6,1,3,0.8627
1,top,6,1,4,0.8603
1,top,6,1,5,0.8627
1,top,6,1,6,0.8627
1,top,6,1,7,0.8651
1,top,6,2,0,0.8517
1,top,6,2,1,0.8542
1,top,6,2,2,0.8542
1,top,6,2,3,0.8567
1,top,6,2,4,0.8542
1,top,6,2,5,0.8567
1,top,6,2,6,0.8567
1,top,6,2,7,0.8591
1,top,7,0,0,0.8882
1,top,7,0,1,0.8901
1,top,7,0,2,0.8901
1,top,7,0,3,0.8921
1,top,7,0,4,0.8901
1,top,7,0,5,0.8921
1,top,7,0,6,0.8921
1,top,7,0,7,0.894
1,top,7,1,0,0.8831
1,top,7,1,1,0.8851
1,top,7,1,2,0.8851
1,top,7,1,3,0.8872
1,top,7,1,4,0.8851
1,top,7,1,5,0.8872
1,top,7,1,6,0.8872
1,top,7,1,7,0.8891
1,top,7,2,0,0.8778
1,top,7,2,1,0.88
1,top,7,2,2,0.88
1,top,7,2,3,0.8821
1,top,7,2,4,0.88
1,top,7,2,5,0.8821
1,top,7,2,6,0.8821
1,top,7,2,7,0.8841
1,top,8,0,0,0.9065
1,top,8,0,1,0.9082
1,top,8,0,2,0.9082
1,top,8,0,3,0.9099
1,top,8,0,4,0.9082
1,top,8,0,5,0.9099
1,top,8,0,6,0.9099
1,top,8,0,7,0.9115
1,top,8,1,0,0.9022
1,top,8,1,1,0.904
1,top,8,1,2,0.904
1,top,8,1,3,0.9057
1,top,8,1,4,0.904
1,top,8,1,5,0.9057
1,top,8,1,6,0.9057
1,top,8,1,7,0.9074
1,top,8,2,0,0.8977
1,top,8,2,1,0.8995
1,top,8,2,2,0.8995
1,top,8,2,3,0.9013
1,top,8,2,4,0.8995
1,top,8,2,5,0.9013
1,top,8,2,6,0.9013
1,top,8,2,7,0.9031
1,top,9,0,0,0.9204
1,top,9,0,1,0.9219
1,top,9,0,2,0.9219
1,top,9,0,3,0.9233
1,top,9,0,4,0.9219
1,top,9,0,5,0.9233
1,top,9,0,6,0.9233
1,top,9,0,7,0.9247
1,top,9,1,0,0.9167
1,top,9,1,1,0.9182
1,top,9,1,2,0.9182
1,top,9,1,3,0.9197
1,top,9,1,4,0.9182
1,top,9,1,5,0.9197
1,top,9,1,6,0.9197
1,top,9,1,7,0.9211
1,top,9,2,0,0.9128
1,top,9,2,1,0.9144
1,top,9,2,2,0.9144
1,top,9,2,3,0.9159
1,top,9,2,4,0.9144
1,top,9,2,5,0.9159
1,top,9,2,6,0.9159
1,top,9,2,7,0.9174
1,top,10,0,0,0.9309
1,top,10,0,1,0.9321
1,top,10,0,2,0.9321
1,top,10,0,3,0.9334
1,top,10,0,4,0.9321
1,top,10,0,5,0.9334
1,top,10,0,6,0.9334
1,top,10,0,7,0.9346
1,top,10,1,0,0.9276
1,top,10,1,1,0.9289
1,top,10,1,2,0.9289
1,top,10,1,3,0.9302
1,top,10,1,4,0.9289
1,top,10,1,5,0.9302
1,top,10,1,6,0.9302
1,top,10,1,7,0.9315
1,top,10,2,0,0.9241
1,top,10,2,1,0.9255
1,top,10,2,2,0.9255
1,top,10,2,3,0.9269
1,top,10,2,4,0.9255
1,top,10,2,5,0.9269
1,top,10,2,6,0.9269
1,top,10,2,7,0.9282
1,bottom,-10,0,0,0.0067
1,bottom,-10,0,1,0.0068
1,bottom,-10,0,2,0.0068
1,bottom,-10,0,3,0.007
1,bottom,-10,0,4,0.0068
1,bottom,-10,0,5,0.007
1,bottom,-10,0,6,0.007
1,bottom,-10,0,7,0.0071
1,bottom,-10,1,0,0.0064
1,bottom,-10,1,1,0.0065
1,bottom,-10,1,2,0.0065
1,bottom,-10,1,3,0.0066
1,bottom,-10,1,4,0.0065
1,bottom,-10,1,5,0.0066
1,bottom,-10,1,6,0.0066
1,bottom,-10,1,7,0.0068
1,bottom,-10,2,0,0.0061
1,bottom,-10,2,1,0.0062
1,bottom,-10,2,2,0.0062
1,bottom,-10,2,3,0.0063
1,bottom,-10,2,4,0.0062
1,bottom,-10,2,5,0.0063
1,bottom,-10,2,6,0.0063
1,bottom,-10,2,7,0.0064
1,bottom,-9,0,0,0.0122
1,bottom,-9,0,1,0.0125
1,bottom,-9,0,2,0.0125
1,bottom,-9,0,3,0.0127
1,bottom,-9,0,4,0.0125
1,bottom,-9,0,5,0.0127
1,bottom,-9,0,6,0.0127
1,bottom,-9,0,7,0.013
1,bottom,-9,1,0,0.0116
1,bottom,-9,1,1,0.0119
1,bottom,-9,1,2,0.0119
1,bottom,-9,1,3,0.0121
1,bottom,-9,1,4,0.0119
1,bottom,-9,1,5,0.0121
1,bottom,-9,1,6,0.0121
1,bottom,-9,1,7,0.0123
1,bottom,-9,2,0,0.0111
1,bottom,-9,2,1,0.0113
1,bottom,-9,2,2,0.0113
1,bottom,-9,2,3,0.0115
1,bottom,-9,2,4,0.0113
1,bottom,-9,2,5,0.0115
1,bottom,-9,2,6,0.0115
1,bottom,-9,2,7,0.0118
1,bottom,-8,0,0,0.0217
1,bottom,-8,0,1,0.0221
1,bottom,-8,0,2,0.0221
1,bottom,-8,0,3,0.0226
1,bottom,-8,0,4,0.0221
1,bottom,-8,0,5,0.0226
1,bottom,-8,0,6,0.0226
1,bottom,-8,0,7,0.023
1,bottom,-8,1,0,0.0207
1,bottom,-8,1,1,0.0211
1,bottom,-8,1,2,0.0211
1,bottom,-8,1,3,0.0215
1,bottom,-8,1,4,0.0211
1,bottom,-8,1,5,0.0215
1,bottom,-8,1,6,0.0215
1,bottom,-8,1,7,0.0219
1,bottom,-8,2,0,0.0197
1,bottom,-8,2,1,0.0201
